Record_ID,Date,Store_Location,Region,Total_Waste_Generated_kg,Waste_Recycled_kg,Waste_Landfill_kg,Waste_Composted_kg,Hazardous_Waste_kg,Waste_Recycling_Rate_%,Water_Usage_liters,Water_Recycled_liters,Energy_Consumption_kwh,Renewable_Energy_kwh,Carbon_Emissions_kg_co2,Waste_Category,Disposal_Method,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
19976,2023-01-01,Store_041,Central,2819.67,1531.88,2594.45,1365.07,104.38,56.6,49495.69,2574.18,4628.12,1037.44,3598.09,Paper,Landfill,Compliant,81.0,77.9,1,Weekend,Q1
17079,2023-01-01,Store_036,North,2710.03,2168.0240000000003,1029.7,958.67,15.72,89.68,2639.38,38500.46,11954.04,2804.86,869.44,Food,Recycling,Non-Compliant,71.5,76.5,1,Weekend,Q1
4279,2023-01-01,Store_004,South,1862.53,1324.93,1034.64,1794.39,480.46,84.7,8865.62,19090.98,7634.59,7391.45,1780.55,Packaging,Recycling,Partial,65.7,98.3,1,Weekend,Q1
8108,2023-01-01,Store_004,North,3555.04,2797.74,2667.57,167.35,281.23,45.09,40025.75,30067.56,12770.65,5487.09,3513.07,Food,Recycling,Compliant,84.4,86.2,1,Weekend,Q1
7973,2023-01-01,Store_011,Central,1462.54,1262.46,314.26,1685.26,244.79,35.47,32180.18,27340.33,11197.2,6004.77,3730.64,Paper,Recycling,Compliant,97.5,85.3,1,Weekend,Q1
13673,2023-01-01,Store_020,East,1249.88,999.9040000000001,2847.98,1769.03,377.59,61.27,25307.74,21279.69,1932.62,10437.66,4666.03,Packaging,Recycling,Compliant,54.1,99.5,1,Weekend,Q1
2260,2023-01-01,Store_041,North,1016.06,812.848,854.22,1428.96,35.08,55.71,45794.98,2106.34,12149.91,1189.09,437.87,Plastic,Recycling,Non-Compliant,75.8,99.5,1,Weekend,Q1
17839,2023-01-01,Store_024,East,665.96,532.768,2036.57,195.55,375.58,91.86,43803.79,29089.61,9987.25,998.46,3165.49,Food,Composting,Compliant,56.9,93.6,1,Weekend,Q1
18634,2023-01-01,Store_048,South,1530.58,1339.6,396.46,1003.04,109.6,42.33,36580.22,36071.16,7346.58,5994.65,1282.45,Packaging,Recycling,Partial,91.8,92.2,1,Weekend,Q1
12484,2023-01-01,Store_024,East,2972.41,2377.928,748.23,1832.93,251.31,50.43,27741.14,26788.63,3502.84,2074.6,4356.82,Paper,Landfill,Partial,65.2,84.3,1,Weekend,Q1
9079,2023-01-01,Store_040,East,3476.78,510.09,491.81,1508.3,450.04,85.1,41042.9,35314.98,1978.03,6145.39,531.16,Paper,Composting,Non-Compliant,99.0,84.8,1,Weekend,Q1
12344,2023-01-01,Store_043,West,3362.35,2689.88,2079.32,1554.76,411.96,47.21,22038.41,19353.04,11049.41,11902.5,3388.63,Packaging,Composting,Compliant,58.5,87.9,1,Weekend,Q1
