Record_ID,Date,Store_Location,Region,Board_Size,Board_Independence_%,Women_on_Board_%,Executive_Diversity_%,Avg_Board_Tenure_years,Ethics_Training_Completion_%,Ethics_Violations_Reported,Corruption_Incidents,Whistleblower_Reports,Code_of_Conduct_Violations,Internal_Audit_Findings,External_Audit_Findings,Compliance_Violations,Regulatory_Penalties_usd,Risk_Management_Score,Data_Breach_Incidents,Privacy_Violation_Reports,GDPR_Compliance_%,Data_Protection_Score,Cybersecurity_Investment_usd,Governance_Category,Policy_Status,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
216,2023-01-01,Store_022,South,7,70.45,42.63,19.75,13.5,81.55,8,1,4,4,2,5,0,52423,80.9,0,2,97.78,77.9,372546,Ethics,Implemented,Non-Compliant,66.3,79.2,1,Weekend,Q1
4749,2023-01-01,Store_010,South,12,76.09,34.9,42.43,11.1,82.23,3,3,0,0,4,8,1,21228,97.2,0,0,87.37,78.9,484411,Risk,Implemented,Compliant,73.7,85.8,1,Weekend,Q1
257,2023-01-01,Store_020,West,7,46.33,38.56,13.31,7.7,70.59,1,3,1,3,3,7,3,48314,80.6,0,1,86.83,73.0,23056,Ethics,Implemented,Compliant,55.2,92.1,1,Weekend,Q1
5772,2023-01-01,Store_043,East,6,92.88,38.04,45.76,9.0,91.32,3,1,2,0,10,5,3,57211,87.1,2,2,90.01,58.1,208859,Ethics,Implemented,Non-Compliant,63.4,75.1,1,Weekend,Q1
779,2023-01-01,Store_036,West,8,70.31,34.63,28.6,6.1,74.09,9,1,7,1,3,3,7,52030,40.4,1,1,86.0,71.3,384707,Audit,Implemented,Compliant,73.0,81.4,1,Weekend,Q1
2281,2023-01-01,Store_045,North,6,37.98,14.73,12.76,8.9,88.02,0,3,0,1,9,5,0,81016,51.3,2,4,94.0,86.5,127778,Audit,Implemented,Partial,98.4,94.7,1,Weekend,Q1
889,2023-01-01,Store_032,East,10,50.29,23.9,13.04,10.3,91.58,0,0,3,2,6,8,4,25057,52.1,0,3,74.46,51.4,469946,Ethics,Implemented,Compliant,75.7,78.0,1,Weekend,Q1
15847,2023-01-01,Store_047,West,8,32.16,43.62,47.44,3.6,85.07,1,0,2,3,8,3,0,57947,49.7,1,3,85.39,90.4,487510,Risk,Implemented,Compliant,70.0,93.8,1,Weekend,Q1
2342,2023-01-01,Store_016,East,9,57.36,29.42,23.08,13.1,86.22,9,3,1,5,13,0,3,84234,92.5,1,2,83.31,99.4,37385,Ethics,Implemented,Compliant,90.2,77.9,1,Weekend,Q1
3897,2023-01-01,Store_023,Central,6,45.25,48.9,51.22,11.4,87.98,2,1,3,5,14,4,4,2589,73.8,2,3,93.1,77.9,264169,Board,Implemented,Partial,61.3,81.5,1,Weekend,Q1
14289,2023-01-01,Store_004,North,11,90.43,45.41,18.13,10.5,72.24,1,2,7,1,1,8,3,93542,53.6,0,0,96.37,84.2,62012,Board,Implemented,Compliant,88.2,95.5,1,Weekend,Q1
2714,2023-01-01,Store_049,West,6,78.84,11.43,27.52,3.5,97.28,4,0,0,3,8,3,2,74359,68.9,2,3,99.18,61.4,476160,Risk,Implemented,Compliant,94.2,95.6,1,Weekend,Q1
14853,2023-01-01,Store_035,East,7,64.3,38.27,43.3,12.8,89.71,5,4,0,2,5,9,0,9506,48.2,2,0,75.07,76.0,240693,Board,Pending,Compliant,51.9,99.5,1,Weekend,Q1
10419,2023-01-01,Store_045,North,11,60.24,3.6,26.25,3.4,81.83,3,3,0,3,5,0,4,44305,48.9,1,0,98.64,92.7,405410,Board,Implemented,Compliant,75.6,76.9,1,Weekend,Q1
15501,2023-01-01,Store_005,West,5,54.99,29.14,30.6,9.8,83.56,6,3,7,4,7,8,7,73836,45.5,0,0,80.11,70.2,376470,Risk,Implemented,Compliant,54.7,89.7,1,Weekend,Q1
16282,2023-01-01,Store_043,South,9,94.04,2.82,40.32,10.1,78.69,0,0,7,5,13,3,7,30072,68.9,1,2,95.71,61.5,111584,Ethics,Implemented,Compliant,54.5,76.6,1,Weekend,Q1
