Record_ID,Date,Store_Location,Region,Total_Employees,Full_Time_Employees,Part_Time_Employees,Seasonal_Employees,Employee_Turnover_Rate_%,Employee_Satisfaction_Score,Women_Employees_%,Minority_Employees_%,Employees_with_Disabilities_%,Diversity_Score,Community_Engagement_Hours,Charitable_Donations_usd,Local_Sourcing_%,Community_Programs,Health_Safety_Incidents,Lost_Time_Injuries,Safety_Training_Hours,Health_Safety_Score,Employee_Category,Program_Type,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
716,2023-01-01,Store_026,Central,177,97,39,41,11.18,4.6,20.37,42.9,14.67,66.8,153,19549,45.97,8,0,3,22,80.7,Part-Time,Training,Compliant,86.2,85.6,1,Weekend,Q1
18521,2023-01-01,Store_048,Central,216,113,93,10,11.6,4.3,47.44,25.92,9.67,61.1,134,43707,58.39,12,0,2,94,85.0,Full-Time,Training,Compliant,63.3,98.5,1,Weekend,Q1
8272,2023-01-01,Store_010,Central,164,77,54,33,25.46,4.8,42.33,17.76,12.1,57.9,142,20459,10.14,2,9,2,34,96.3,Part-Time,Training,Non-Compliant,92.0,82.5,1,Weekend,Q1
5603,2023-01-01,Store_003,North,184,93,89,2,9.33,3.3,38.53,32.43,13.48,52.5,331,13036,77.04,6,6,1,147,63.3,Part-Time,Wellness,Compliant,91.9,76.8,1,Weekend,Q1
5285,2023-01-01,Store_029,Central,175,75,64,36,18.74,4.6,37.18,20.89,4.81,93.4,154,8827,26.14,12,7,1,36,81.5,Full-Time,Diversity,Partial,67.9,83.5,1,Weekend,Q1
14981,2023-01-01,Store_023,East,247,132,81,34,36.69,3.8,37.68,30.24,10.77,72.6,433,2499,26.89,10,5,1,173,80.7,Part-Time,Wellness,Partial,82.1,90.2,1,Weekend,Q1
2330,2023-01-01,Store_020,Central,241,133,98,10,27.39,4.3,44.29,32.95,10.18,41.1,197,14736,30.23,11,2,2,156,80.8,Full-Time,Wellness,Compliant,92.6,87.4,1,Weekend,Q1
3261,2023-01-01,Store_017,Central,195,109,74,12,30.11,3.4,23.46,14.51,13.7,79.4,148,39582,77.96,9,1,3,146,66.7,Part-Time,Wellness,Partial,90.3,89.6,1,Weekend,Q1
5607,2023-01-01,Store_036,Central,175,97,72,6,28.06,4.8,36.14,10.28,12.3,86.4,276,27253,77.43,4,6,0,132,89.8,Seasonal,Wellness,Compliant,63.7,86.7,1,Weekend,Q1
10267,2023-01-01,Store_046,South,108,62,33,13,12.66,3.3,40.25,27.69,9.77,64.8,72,36128,30.82,11,6,1,12,65.5,Full-Time,Wellness,Non-Compliant,96.9,90.8,1,Weekend,Q1
14579,2023-01-01,Store_023,East,169,123,46,0,10.64,4.1,49.93,37.99,9.76,47.5,175,2339,24.8,8,4,0,160,77.3,Full-Time,Community,Compliant,97.4,99.2,1,Weekend,Q1
8104,2023-01-01,Store_023,North,244,140,96,8,37.3,4.7,36.25,32.46,4.9,86.3,144,47827,19.5,19,6,4,66,67.9,Seasonal,Training,Compliant,84.8,98.6,1,Weekend,Q1
1589,2023-01-01,Store_049,East,132,73,31,28,8.27,4.0,52.71,44.6,8.3,47.8,37,11108,25.38,16,8,3,117,88.3,Part-Time,Training,Compliant,63.8,75.5,1,Weekend,Q1
